           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;129151;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;320537;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;1366665;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;331958;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;211954;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;89034;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;94301;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;84513;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;68999;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;111273;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2016;Tahun;16004097;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;580287;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;662234;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;397547.612225;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;229634;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;145759.6428;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;261852;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;115739;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;653537;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;10577;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;17967;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;893;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;425826;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;1642577.5577108;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2015;Tahun;306691;"DI YOGYAKARTA"
